"gam","ee_L_a_Horowitz and Manski","ee_L_a_Lee","ee_L_a_Chen and Flores","ee_U_a_Horowitz and Manski","ee_U_a_Lee","ee_U_a_Chen and Flores","ee_L_b_Horowitz and Manski","ee_L_b_Lee","ee_L_b_Chen and Flores","ee_U_b_Horowitz and Manski","ee_U_b_Lee","ee_U_b_Chen and Flores"
0.91,12.2574615836049,13.300429242838,13.300429242838,13.1255353281265,13.300429242838,13.300429242838,13.3349748270323,13.2715828913554,13.3458865030374,14.2945177955804,13.4274751215259,13.4274751215259
0.92,13.5739583996774,14.6659929494098,14.6659929494098,14.4260372566628,14.6659929494098,14.6659929494098,14.7648082437238,14.6379958891624,14.7105062796451,15.7066709380268,14.7908108935797,14.7908108935797
0.93,15.2710443068001,16.4287173862318,16.4287173862318,16.1074473394445,16.4287173862318,16.4287173862318,16.6081304810395,16.401545401594,16.4723077722501,17.5326655840894,16.5513516559152,16.5513516559152
0.94,17.5389107822442,18.7870096942754,18.7870096942754,18.3599502859462,18.7870096942754,18.7870096942754,19.0715684792866,18.7606392397706,18.8296975941127,19.9791211931538,18.9075035809124,18.9075035809124
0.95,20.7199051114418,22.0980072744078,22.0980072744078,21.5258867640725,22.0980072744078,22.0980072744078,22.5270538170702,22.0724154561653,22.13981263381,23.4179620290065,22.2164031251197,22.2164031251197
0.96,25.4987250749381,27.0759904838189,27.0759904838189,26.2899480836601,27.0759904838189,27.0759904838189,27.7184534185039,27.0511550415465,27.116932751124,28.5930478632316,27.1923297249572,27.1923297249572
0.97,33.4730030115226,35.3876207293165,35.3876207293165,34.2497602562388,35.3876207293165,35.3876207293165,36.3814616779542,35.3635200187727,35.4277188698189,37.2400660962309,35.5019438893112,35.5019438893112
0.98,49.435642074087,52.0328928463758,52.0328928463758,50.1982202475997,52.0328928463758,52.0328928463758,53.723168963549,52.0095058223289,52.072165356195,54.5661002570944,52.1452395779113,52.1452395779113
0.99,97.3511700271278,102.011801763942,102.011801763942,98.0998497720842,102.011801763942,102.011801763942,105.779041150526,101.989107963602,102.050266683416,106.606609533398,102.122210865483,102.122210865483
1,1.47969220543804,1.99100916927531,1.99100916927531,2.214748248139,1.99100916927531,1.99100916927531,1.62229999345338,1.96898869618591,2.02868409589575,2.43480913995589,2.09951860596427,2.09951860596427
1.01,-94.3916100337033,-98.0294898271726,-98.0294898271726,-93.6699087525585,-98.0294898271726,-98.0294898271726,-102.534241994997,-98.0508563187966,-97.9925877262616,-101.736494805793,-97.9228429032185,-97.9228429032185
1.02,-46.4755552827257,-48.049700026837,-48.049700026837,-45.766945480286,-48.049700026837,-48.049700026837,-50.4777722408343,-48.070431347337,-48.0135540027626,-49.6944959838731,-47.9448792568169,-47.9448792568169
1.03,-30.5120380559407,-31.4029594780879,-31.4029594780879,-29.8162619823714,-31.4029594780879,-31.4029594780879,-33.1350688054985,-31.4230739171671,-31.3675531885754,-32.3659785717587,-31.2999292773683,-31.2999292773683
1.04,-22.536530337291,-23.0892728112399,-23.0892728112399,-21.8533356537944,-23.0892728112399,-23.0892728112399,-24.4706655069918,-23.1087881523589,-23.0545903093282,-23.7154823686516,-22.9879983507509,-22.9879983507509
1.05,-17.7561286215555,-18.1086445735277,-18.1086445735277,-17.085268281178,-18.1086445735277,-18.1086445735277,-19.2774715474969,-18.1275781079013,-18.0746702966576,-18.5359224261815,-18.0090917616839,-18.0090917616839
1.06,-14.5732001167022,-14.7944125640479,-14.7944125640479,-13.9144322478616,-14.7944125640479,-14.7944125640479,-15.8197919798011,-14.8127811042544,-14.7611313235087,-15.0916095178379,-14.696548029176,-14.696548029176
1.07,-12.3030464878449,-12.4322954543814,-12.4322954543814,-11.6561342805144,-12.4322954543814,-12.4322954543814,-13.3537592034973,-12.4501153475951,-12.399692425102,-12.6386816381069,-12.3360865276382,-12.3360865276382
1.08,-10.6033197938847,-10.6651546948975,-10.6651546948975,-9.96803138837175,-10.6651546948975,-10.6651546948975,-11.5074408398832,-10.682441835755,-10.6332154055687,-10.8052118802387,-10.5705693936611,-10.5705693936611
1.09,-9.28382780028936,-9.29458181785212,-9.29458181785212,-8.65993617854812,-9.29458181785212,-9.29458181785212,-10.0742090243274,-9.31135166096302,-9.26329214136718,-9.38457773141481,-9.20158882957098,-9.20158882957098
